price_usd,lat,lon,area_m2,country,city,property_type
115200.0,,,,Pakistan,Rawalpindi,House
144000.0,,,,Pakistan,Rawalpindi,House
90000.0,,,,Pakistan,Rawalpindi,House
21600.0,,,,Pakistan,Rawalpindi,House
85680.0,,,,Pakistan,Rawalpindi,House
100800.0,,,,Pakistan,Rawalpindi,House
19080.0,,,,Pakistan,Rawalpindi,House
71640.0,,,,Pakistan,Rawalpindi,House
54000.0,,,,Pakistan,Rawalpindi,House
64800.0,,,,Pakistan,Rawalpindi,House
88200.0,,,,Pakistan,Rawalpindi,House
97200.0,,,,Pakistan,Rawalpindi,House
64800.0,,,,Pakistan,Rawalpindi,House
900.0,,,,Pakistan,Faisalabad,House
720.0,,,,Pakistan,Rawalpindi,House
450.0,,,,Pakistan,Rawalpindi,House
396.0,,,,Pakistan,Rawalpindi,House
1620000.0,,,,Pakistan,Karachi,House
126000.0,,,,Pakistan,Karachi,House
75600.0,,,,Pakistan,Karachi,Flat
23400.0,,,,Pakistan,Karachi,House
46800.0,,,,Pakistan,Karachi,House
115200.0,,,,Pakistan,Karachi,House
14400.0,,,,Pakistan,Karachi,House
59400.0,,,,Pakistan,Karachi,Flat
396000.0,,,,Pakistan,Karachi,House
46080.0,,,,Pakistan,Karachi,House
108000.0,,,,Pakistan,Karachi,Flat
122400.0,,,,Pakistan,Karachi,Flat
106200.0,,,,Pakistan,Karachi,Flat
108000.0,,,,Pakistan,Karachi,Flat
135000.0,,,,Pakistan,Karachi,Flat
162000.0,,,,Pakistan,Karachi,Flat
61200.0,,,,Pakistan,Karachi,House
45000.0,,,,Pakistan,Karachi,Flat
18000.0,,,,Pakistan,Karachi,Flat
14760.0,,,,Pakistan,Karachi,Flat
144000.0,,,,Pakistan,Karachi,House
100800.0,,,,Pakistan,Karachi,Flat
117000.0,,,,Pakistan,Karachi,Flat
144000.0,,,,Pakistan,Karachi,Flat
214200.0,,,,Pakistan,Karachi,House
257400.0,,,,Pakistan,Karachi,House
198000.0,,,,Pakistan,Karachi,House
214200.0,,,,Pakistan,Karachi,House
246600.0,,,,Pakistan,Karachi,House
210600.0,,,,Pakistan,Karachi,House
241200.0,,,,Pakistan,Karachi,House
