lat,lon,price_local,currency,area_m2,property_type,transaction_date,yr,city,country,country_iso,source,n_rooms,terrain_m2,postcode,structure,use,build_year,floor_plan,district,address,bis_hpi,esa_tile,dem_tile
48.890943,2.38301,260000.0,EUR,,Dépendance,2023-01-10,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.890943,2.38301,260000.0,EUR,31.0,Appartement,2023-01-10,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.873186,2.402724,500000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.873186,2.402724,500000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.873186,2.402724,500000.0,EUR,74.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.885134,2.38355,272000.0,EUR,24.0,Appartement,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.882654,2.333069,380000.0,EUR,,Dépendance,2023-01-10,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882654,2.333069,380000.0,EUR,30.0,Appartement,2023-01-10,2023,Paris 9e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.891062,2.333778,1089450.0,EUR,92.0,Appartement,2023-01-05,2023,Paris 18e Arrondissement,France,FR,france_dvf,5,,,,,,,,,128.7898,,
48.891062,2.333778,1089450.0,EUR,,Dépendance,2023-01-05,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.880336,2.329696,877400.0,EUR,,Dépendance,2023-01-05,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.880336,2.329696,877400.0,EUR,69.0,Appartement,2023-01-05,2023,Paris 9e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.873862,2.342982,693000.0,EUR,64.0,Appartement,2023-01-10,2023,Paris 9e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.871505,2.363876,469000.0,EUR,48.0,Appartement,2023-01-10,2023,Paris 10e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.871505,2.363876,469000.0,EUR,,Dépendance,2023-01-10,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.865342,2.349927,890500.0,EUR,63.0,Appartement,2023-01-06,2023,Paris 2e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.865463,2.340729,810000.0,EUR,,Dépendance,2023-01-04,2023,Paris 1er Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.865463,2.340729,810000.0,EUR,30.0,Appartement,2023-01-04,2023,Paris 1er Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.872297,2.402683,221510.0,EUR,,Dépendance,2023-01-09,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.872297,2.402683,221510.0,EUR,25.0,Appartement,2023-01-09,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.883318,2.389397,518000.0,EUR,,Dépendance,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.883318,2.389397,518000.0,EUR,76.0,Appartement,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.887756,2.303712,55000.0,EUR,,Dépendance,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.874015,2.360792,431500.0,EUR,,Dépendance,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.874015,2.360792,431500.0,EUR,39.0,Appartement,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.878264,2.338472,1905100.0,EUR,156.0,Appartement,2023-01-11,2023,Paris 9e Arrondissement,France,FR,france_dvf,6,,,,,,,,,128.7898,,
48.878264,2.338472,1905100.0,EUR,,Dépendance,2023-01-11,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.879325,2.330222,914400.0,EUR,,Dépendance,2023-01-12,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.879325,2.330222,914400.0,EUR,76.0,Appartement,2023-01-12,2023,Paris 9e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.879325,2.330222,914400.0,EUR,,Dépendance,2023-01-12,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.858562,2.390548,23500.0,EUR,,Dépendance,2023-01-11,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.88787,2.39188,350200.0,EUR,,Dépendance,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.88787,2.39188,350200.0,EUR,40.0,Appartement,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.882581,2.39278,191250.0,EUR,21.0,Appartement,2023-01-04,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.878798,2.345601,707300.0,EUR,,Dépendance,2023-01-10,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.878798,2.345601,707300.0,EUR,54.0,Appartement,2023-01-10,2023,Paris 9e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.882462,2.360916,625500.0,EUR,54.0,Appartement,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.882462,2.360916,625500.0,EUR,,Dépendance,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.895927,2.339901,324000.0,EUR,36.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.880984,2.344619,10000.0,EUR,,Dépendance,2023-01-06,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.888673,2.350473,24500.0,EUR,,Dépendance,2023-01-10,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889935,2.35425,650000.0,EUR,81.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.889935,2.35425,650000.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.889935,2.35425,650000.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.892065,2.348054,3000.0,EUR,60.0,Appartement,2023-01-05,2023,Paris 18e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.892065,2.348054,3000.0,EUR,,Dépendance,2023-01-05,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882553,2.313307,740000.0,EUR,,Dépendance,2023-01-09,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.882553,2.313307,740000.0,EUR,68.0,Appartement,2023-01-09,2023,Paris 17e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.895608,2.340249,112000.0,EUR,19.0,Appartement,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.881102,2.389225,430000.0,EUR,18.0,Maison,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,28.0,,,,,,,,128.7898,,
48.875256,2.381849,170000.0,EUR,20.0,Appartement,2023-01-06,2023,Paris 19e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.878782,2.365172,407000.0,EUR,34.0,Appartement,2023-01-11,2023,Paris 10e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.878782,2.365172,407000.0,EUR,,Dépendance,2023-01-11,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.863531,2.39854,262500.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.863531,2.39854,262500.0,EUR,28.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.873186,2.402724,480000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.873186,2.402724,480000.0,EUR,65.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.873186,2.402724,480000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.853129,2.40988,118000.0,EUR,16.0,Appartement,2023-01-12,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.888613,2.376709,275000.0,EUR,,Dépendance,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.888613,2.376709,275000.0,EUR,42.0,Appartement,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.888613,2.376709,275000.0,EUR,,Dépendance,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.883749,2.372571,320000.0,EUR,,Dépendance,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.883749,2.372571,320000.0,EUR,32.0,Appartement,2023-01-11,2023,Paris 19e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
