price,currency,country,iso,source,city,yr,property_type,area_m2,detail
1130815.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,1573.9,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,74.0,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,26.88,
1130817.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,10.04,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,67.76,
1130819.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,33.89,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.14,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,80.0,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,50.73,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.4,
1130816.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,1946.0,
1130821.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,526.0,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,83.0,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,83.0,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,36.309999999999995,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.0,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,5.34,
1130801.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,24.97,
1130817.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,5.5,
1130812.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.79,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.25,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,53.0,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,36.2,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,36.2,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,36.2,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,92.0,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,198.15,
1130817.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.369999999999997,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.98,
1130807.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.87,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,83.16,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.37,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,10.37,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,11.38,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.67,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.67,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,12.67,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.0,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,23.98,
1130804.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,28.4,
1130821.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,94.11,
1130823.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.94,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,102.0,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,23.89,
1130806.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.07,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.1,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,106.0,
1130813.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,7.1,
1130823.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,18.4,
1130814.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,10.35,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,311.25,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,47.25,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,14.62,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,1500.0,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,240.38,
1130811.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,216.38,
1130803.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,67.71,
1130817.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,22.5,
1130802.0,TWD,Taiwan,TW,tw_real_price,Taipei,2024.0,sale,8.75,
2103.0,,Panama,,pa_open_data,,,,,Hipotecas
1555.0,,Panama,,pa_open_data,,,,,Hipotecas
1835.0,,Panama,,pa_open_data,,,,,Hipotecas
1606.0,,Panama,,pa_open_data,,,,,Creadas
,,Cambodia,,kh_odc,,,,,1465 features in GeoJSON
237062.0,,Pakistan,,pk_open_data,,,,,property_id
346905.0,,Pakistan,,pk_open_data,,,,,property_id
386513.0,,Pakistan,,pk_open_data,,,,,property_id
656161.0,,Pakistan,,pk_open_data,,,,,property_id
841645.0,,Pakistan,,pk_open_data,,,,,property_id
850762.0,,Pakistan,,pk_open_data,,,,,property_id
937975.0,,Pakistan,,pk_open_data,,,,,property_id
1258636.0,,Pakistan,,pk_open_data,,,,,property_id
1402466.0,,Pakistan,,pk_open_data,,,,,property_id
1418706.0,,Pakistan,,pk_open_data,,,,,property_id
1425602.0,,Pakistan,,pk_open_data,,,,,property_id
1586658.0,,Pakistan,,pk_open_data,,,,,property_id
1623818.0,,Pakistan,,pk_open_data,,,,,property_id
1665024.0,,Pakistan,,pk_open_data,,,,,property_id
1879795.0,,Pakistan,,pk_open_data,,,,,property_id
1879796.0,,Pakistan,,pk_open_data,,,,,property_id
1947817.0,,Pakistan,,pk_open_data,,,,,property_id
2230469.0,,Pakistan,,pk_open_data,,,,,property_id
2234957.0,,Pakistan,,pk_open_data,,,,,property_id
2384979.0,,Pakistan,,pk_open_data,,,,,property_id
2642166.0,,Pakistan,,pk_open_data,,,,,property_id
2642249.0,,Pakistan,,pk_open_data,,,,,property_id
2651838.0,,Pakistan,,pk_open_data,,,,,property_id
2682075.0,,Pakistan,,pk_open_data,,,,,property_id
2771097.0,,Pakistan,,pk_open_data,,,,,property_id
2842741.0,,Pakistan,,pk_open_data,,,,,property_id
2873584.0,,Pakistan,,pk_open_data,,,,,property_id
2883507.0,,Pakistan,,pk_open_data,,,,,property_id
3098002.0,,Pakistan,,pk_open_data,,,,,property_id
3101600.0,,Pakistan,,pk_open_data,,,,,property_id
3166573.0,,Pakistan,,pk_open_data,,,,,property_id
3285142.0,,Pakistan,,pk_open_data,,,,,property_id
3310804.0,,Pakistan,,pk_open_data,,,,,property_id
3371338.0,,Pakistan,,pk_open_data,,,,,property_id
3626467.0,,Pakistan,,pk_open_data,,,,,property_id
858689.0,,Pakistan,,pk_open_data,,,,,property_id
877435.0,,Pakistan,,pk_open_data,,,,,property_id
981663.0,,Pakistan,,pk_open_data,,,,,property_id
1838236.0,,Pakistan,,pk_open_data,,,,,property_id
1871937.0,,Pakistan,,pk_open_data,,,,,property_id
1923026.0,,Pakistan,,pk_open_data,,,,,property_id
2040534.0,,Pakistan,,pk_open_data,,,,,property_id
2922894.0,,Pakistan,,pk_open_data,,,,,property_id
3191268.0,,Pakistan,,pk_open_data,,,,,property_id
